batting_first,batting_second,venue,date,winner,player_name,dismissal,runs_scored,balls_faced,fours,sixes,strike_rate,percent_runs,overs,maidens,runs_given,wickets_taken,economy,percent_wickets,catches,opponent
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Ajinkya Rahane,lbw b KV Sharma,56.0,43.0,5.0,1.0,130.23,34.57%,,,,,,,0,Mumbai Indians
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Rahul Tripathi,b McClenaghan,0.0,2.0,0.0,0.0,0.0,,,,,,,,0,Mumbai Indians
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Steve Smith,c HH Pandya b Malinga,1.0,2.0,0.0,0.0,50.0,0.62%,,,,,,,2,Mumbai Indians
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Manoj Tiwary,run out,58.0,48.0,4.0,2.0,120.83,35.80%,,,,,,,0,Mumbai Indians
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,M S Dhoni,not out,40.0,26.0,0.0,5.0,153.85,24.69%,,,,,,,1,Mumbai Indians
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Lendl Simmons,run out,5.0,13.0,0.0,0.0,38.46,3.52%,,,,,,,0,Rising Pune Supergiant
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Parthiv Patel,c Christian b Thakur,52.0,40.0,3.0,3.0,130.0,36.62%,,,,,,,0,Rising Pune Supergiant
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Rohit Sharma,lbw b Washington Sundar,1.0,2.0,0.0,0.0,50.0,0.70%,,,,,,,0,Rising Pune Supergiant
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Ambati Rayudu,c Smith b Washington Sundar,0.0,3.0,0.0,0.0,0.0,,,,,,,,0,Rising Pune Supergiant
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Kieron Pollard,c Smith b Washington Sundar,7.0,10.0,1.0,0.0,70.0,4.93%,,,,,,,0,Rising Pune Supergiant
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Hardik Pandya,c Christian b Ferguson,14.0,10.0,1.0,1.0,140.0,9.86%,1.0,0.0,15.0,0.0,15.0,,0,Rising Pune Supergiant
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Krunal Pandya,c Christian b Thakur,15.0,11.0,2.0,0.0,136.36,10.56%,4.0,0.0,22.0,0.0,5.5,,0,Rising Pune Supergiant
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Mitchell McClenaghan,c Unadkat b Thakur,12.0,11.0,0.0,1.0,109.09,8.45%,4.0,0.0,46.0,1.0,11.5,10.0,0,Rising Pune Supergiant
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Karn Sharma,c â€ Dhoni b Unadkat,4.0,7.0,0.0,0.0,57.14,2.82%,4.0,0.0,30.0,1.0,7.5,10.0,0,Rising Pune Supergiant
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Jasprit Bumrah,not out,16.0,11.0,0.0,1.0,145.45,11.27%,4.0,0.0,33.0,0.0,8.25,,0,Rising Pune Supergiant
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Lasith Malinga,not out,7.0,2.0,0.0,1.0,350.0,4.93%,3.0,0.0,14.0,1.0,4.67,10.0,0,Rising Pune Supergiant
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Jaydev Unadkat,,,,,,,,4.0,0.0,24.0,1.0,6.0,10.0,1,Mumbai Indians
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Washington Sundar,,,,,,,,4.0,0.0,16.0,3.0,4.0,30.0,0,Mumbai Indians
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Lockie Ferguson,,,,,,,,3.0,0.0,21.0,1.0,7.0,10.0,0,Mumbai Indians
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Shardul Thakur,,,,,,,,4.0,0.0,37.0,3.0,9.25,30.0,0,Mumbai Indians
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Adam Zampa,,,,,,,,1.0,0.0,9.0,0.0,9.0,,0,Mumbai Indians
Rising Pune Supergiant,Mumbai Indians,"Wankhede Stadium, Mumbai","16th May, 2017",Rising Pune Supergiant,Dan Christian,,,,,,,,4.0,0.0,33.0,0.0,8.25,,3,Mumbai Indians
Kolkata Knight Riders,Mumbai Indians,"M Chinnaswamy Stadium, Bengaluru, Bangalore","19th May, 2017",Mumbai Indians,Chris Lynn,c Pollard b Bumrah,4.0,8.0,0.0,0.0,50.0,3.74%,,,,,,,0,Mumbai Indians
Kolkata Knight Riders,Mumbai Indians,"M Chinnaswamy Stadium, Bengaluru, Bangalore","19th May, 2017",Mumbai Indians,Gautam Gambhir,c HH Pandya b KV Sharma,12.0,15.0,2.0,0.0,80.0,11.21%,,,,,,,0,Mumbai Indians
Kolkata Knight Riders,Mumbai Indians,"M Chinnaswamy Stadium, Bengaluru, Bangalore","19th May, 2017",Mumbai Indians,Robin Uthappa,lbw b Bumrah,1.0,3.0,0.0,0.0,33.33,0.93%,,,,,,,1,Mumbai Indians
Kolkata Knight Riders,Mumbai Indians,"M Chinnaswamy Stadium, Bengaluru, Bangalore","19th May, 2017",Mumbai Indians,Ishank Jaggi,c Johnson b KV Sharma,28.0,31.0,3.0,0.0,90.32,26.17%,,,,,,,0,Mumbai Indians
Kolkata Knight Riders,Mumbai Indians,"M Chinnaswamy Stadium, Bengaluru, Bangalore","19th May, 2017",Mumbai Indians,Suryakumar Yadav,c Malinga b Bumrah,31.0,25.0,2.0,1.0,124.0,28.97%,,,,,,,0,Mumbai Indians
Kolkata Knight Riders,Mumbai Indians,"M Chinnaswamy Stadium, Bengaluru, Bangalore","19th May, 2017",Mumbai Indians,Ankit Rajpoot,b Malinga,4.0,7.0,1.0,0.0,57.14,3.74%,,,,,,,1,Mumbai Indians
Kolkata Knight Riders,Mumbai Indians,"M Chinnaswamy Stadium, Bengaluru, Bangalore","19th May, 2017",Mumbai Indians,Mitchell Johnson,,,,,,,,4.0,0.0,28.0,2.0,7.0,20.0,1,Kolkata Knight Riders
Kolkata Knight Riders,Mumbai Indians,"M Chinnaswamy Stadium, Bengaluru, Bangalore","19th May, 2017",Mumbai Indians,Jasprit Bumrah,,,,,,,,3.0,1.0,7.0,3.0,2.33,30.0,0,Kolkata Knight Riders
Kolkata Knight Riders,Mumbai Indians,"M Chinnaswamy Stadium, Bengaluru, Bangalore","19th May, 2017",Mumbai Indians,Lasith Malinga,,,,,,,,3.5,0.0,24.0,1.0,6.26,10.0,1,Kolkata Knight Riders
Kolkata Knight Riders,Mumbai Indians,"M Chinnaswamy Stadium, Bengaluru, Bangalore","19th May, 2017",Mumbai Indians,Karn Sharma,,,,,,,,4.0,0.0,16.0,4.0,4.0,40.0,0,Kolkata Knight Riders
Kolkata Knight Riders,Mumbai Indians,"M Chinnaswamy Stadium, Bengaluru, Bangalore","19th May, 2017",Mumbai Indians,Hardik Pandya,,,,,,,,1.0,0.0,4.0,0.0,4.0,,0,Kolkata Knight Riders
Kolkata Knight Riders,Mumbai Indians,"M Chinnaswamy Stadium, Bengaluru, Bangalore","19th May, 2017",Mumbai Indians,Lendl Simmons,lbw b Chawla,3.0,6.0,0.0,0.0,50.0,2.70%,,,,,,,0,Kolkata Knight Riders
